SAMPLES	M1M2M3_TP	M1M2M3_FP	M1M2_TP	M1M2_FP	M1M3_TP	M1M3_FP	M1_TP	M1_FP	TP_rem_per	FP_rem_per
M1-4.M2-12.M3-11	34	19	1	6	2	0	11	15	2.85714285714	24.0
M1-4.M2-12.M3-7	35	20	0	5	2	1	11	14	0.0	20.0
M1-4.M2-12.M3-17	35	21	0	4	1	3	12	12	0.0	16.0
M1-4.M2-12.M3-4	25	25	10	0	2	5	11	10	28.5714285714	0.0
M1-4.M2-12.M3-16	34	23	1	2	2	1	11	14	2.85714285714	8.0
M1-4.M2-12.M3-10	35	20	0	5	2	1	11	14	0.0	20.0
M1-4.M2-12.M3-1	30	24	5	1	1	9	12	6	14.2857142857	4.0
M1-4.M2-12.M3-5	29	25	6	0	2	6	11	9	17.1428571429	0.0
M1-4.M2-12.M3-14	35	23	0	2	1	2	12	13	0.0	8.0
M1-4.M2-12.M3-12	33	22	2	3	2	1	11	14	5.71428571429	12.0
M1-4.M2-12.M3-13	35	22	0	3	1	2	12	13	0.0	12.0
M1-4.M2-12.M3-6	28	25	7	0	2	5	11	10	20.0	0.0
M1-4.M2-12.M3-2	29	24	6	1	2	3	11	12	17.1428571429	4.0
M1-4.M2-12.M3-3	24	24	11	1	1	4	12	11	31.4285714286	4.0
M1-4.M2-2.M3-8	27	28	0	4	10	0	11	8	0.0	12.5
M1-4.M2-2.M3-9	27	32	0	0	9	0	12	8	0.0	0.0
M1-4.M2-2.M3-18	26	25	1	7	9	0	12	8	3.7037037037	21.875
M1-4.M2-2.M3-15	26	24	1	8	9	1	12	7	3.7037037037	25.0
M1-4.M2-2.M3-11	27	19	0	13	9	0	12	8	0.0	40.625
M1-4.M2-2.M3-7	27	21	0	11	10	0	11	8	0.0	34.375
M1-4.M2-2.M3-17	26	22	1	10	10	2	11	6	3.7037037037	31.25
M1-4.M2-2.M3-4	21	30	6	2	6	0	15	8	22.2222222222	6.25
M1-4.M2-2.M3-16	27	24	0	8	9	0	12	8	0.0	25.0
M1-4.M2-2.M3-10	27	20	0	12	10	1	11	7	0.0	37.5
M1-4.M2-2.M3-1	22	31	5	1	9	2	12	6	18.5185185185	3.125
M1-4.M2-2.M3-5	23	31	4	1	8	0	13	8	14.8148148148	3.125
M1-4.M2-2.M3-14	26	24	1	8	10	1	11	7	3.7037037037	25.0
M1-4.M2-2.M3-12	26	22	1	10	9	1	12	7	3.7037037037	31.25
M1-4.M2-2.M3-13	26	22	1	10	10	2	11	6	3.7037037037	31.25
M1-4.M2-2.M3-6	23	30	4	2	7	0	14	8	14.8148148148	6.25
M1-4.M2-2.M3-2	24	27	3	5	7	0	14	8	11.1111111111	15.625
M1-4.M2-2.M3-3	18	28	9	4	7	0	14	8	33.3333333333	12.5
M1-4.M2-5.M3-8	36	28	0	4	1	0	11	8	0.0	12.5
M1-4.M2-5.M3-9	36	31	0	1	0	1	12	7	0.0	3.125
M1-4.M2-5.M3-18	34	25	2	7	1	0	11	8	5.55555555556	21.875
M1-4.M2-5.M3-15	34	25	2	7	1	0	11	8	5.55555555556	21.875
M1-4.M2-5.M3-11	36	19	0	13	0	0	12	8	0.0	40.625
M1-4.M2-5.M3-7	36	20	0	12	1	1	11	7	0.0	37.5
M1-4.M2-5.M3-17	35	22	1	10	1	2	11	6	2.77777777778	31.25
M1-4.M2-5.M3-4	27	29	9	3	0	1	12	7	25.0	9.375
