SAMPLES	M1M2M3_TP	M1M2M3_FP	M1M2_TP	M1M2_FP	M1M3_TP	M1M3_FP	M1_TP	M1_FP	TP_rem_per	FP_rem_per
M1-7.M2-2.M3-18	36	31	1	0	12	6	83	9	2.7027027027	0.0
M1-7.M2-2.M3-3	37	26	0	5	1	6	94	9	0.0	16.1290322581
M1-7.M2-2.M3-7	37	28	0	3	2	2	93	13	0.0	9.67741935484
M1-7.M2-2.M3-10	37	30	0	1	3	8	92	7	0.0	3.22580645161
M1-7.M2-2.M3-5	37	27	0	4	0	7	95	8	0.0	12.9032258065
M1-7.M2-1.M3-17	38	35	0	2	10	1	84	8	0.0	5.40540540541
M1-7.M2-1.M3-15	37	34	1	3	11	3	83	6	2.63157894737	8.10810810811
M1-7.M2-1.M3-11	38	28	0	9	1	1	93	8	0.0	24.3243243243
M1-7.M2-1.M3-12	38	33	0	4	2	3	92	6	0.0	10.8108108108
M1-7.M2-1.M3-13	37	37	1	0	11	1	83	8	2.63157894737	0.0
M1-7.M2-1.M3-4	36	26	2	11	1	0	93	9	5.26315789474	29.7297297297
M1-7.M2-1.M3-8	38	30	0	7	2	0	92	9	0.0	18.9189189189
M1-7.M2-1.M3-9	38	32	0	5	1	2	93	7	0.0	13.5135135135
M1-7.M2-1.M3-1	37	27	1	10	1	2	93	7	2.63157894737	27.027027027
M1-7.M2-1.M3-6	37	25	1	12	1	1	93	8	2.63157894737	32.4324324324
M1-7.M2-1.M3-14	38	35	0	2	10	2	84	7	0.0	5.40540540541
M1-7.M2-1.M3-16	37	36	1	1	10	2	84	7	2.63157894737	2.7027027027
M1-7.M2-1.M3-2	38	31	0	6	1	1	93	8	0.0	16.2162162162
M1-7.M2-1.M3-18	37	36	1	1	11	1	83	8	2.63157894737	2.7027027027
M1-7.M2-1.M3-3	37	31	1	6	1	1	93	8	2.63157894737	16.2162162162
M1-7.M2-1.M3-7	38	27	0	10	1	3	93	6	0.0	27.027027027
M1-7.M2-1.M3-10	38	36	0	1	2	2	92	7	0.0	2.7027027027
M1-7.M2-1.M3-5	36	34	2	3	1	0	93	9	5.26315789474	8.10810810811
M1-7.M2-5.M3-17	40	33	0	3	8	3	84	7	0.0	8.33333333333
M1-7.M2-5.M3-15	39	32	1	4	9	5	83	5	2.5	11.1111111111
M1-7.M2-5.M3-11	39	25	1	11	0	4	92	6	2.5	30.5555555556
M1-7.M2-5.M3-12	40	34	0	2	0	2	92	8	0.0	5.55555555556
M1-7.M2-5.M3-13	39	35	1	1	9	3	83	7	2.5	2.77777777778
