SAMPLES	M1M2M3_TP	M1M2M3_FP	M1M2_TP	M1M2_FP	M1M3_TP	M1M3_FP	M1_TP	M1_FP	TP_rem_per	FP_rem_per
M1-9.M2-9.M3-11	1870	1508	41	1	5	0	26	33	2.14547357405	0.0662690523526
M1-9.M2-9.M3-7	1887	1509	24	0	4	0	27	33	1.25588697017	0.0
M1-9.M2-9.M3-17	1889	1509	22	0	5	0	26	33	1.15122972266	0.0
M1-9.M2-9.M3-4	1612	1509	299	0	1	0	30	33	15.6462585034	0.0
M1-9.M2-9.M3-16	1902	1509	9	0	5	0	26	33	0.470957613815	0.0
M1-9.M2-9.M3-10	1877	1509	34	0	5	0	26	33	1.77917320774	0.0
M1-9.M2-9.M3-1	1669	1509	242	0	3	0	28	33	12.6635269492	0.0
M1-9.M2-9.M3-5	1560	1509	351	0	3	0	28	33	18.3673469388	0.0
M1-9.M2-9.M3-14	1895	1509	16	0	5	0	26	33	0.837257980115	0.0
M1-9.M2-9.M3-12	1867	1509	44	0	5	0	26	33	2.30245944532	0.0
M1-9.M2-9.M3-13	1902	1509	9	0	5	0	26	33	0.470957613815	0.0
M1-9.M2-9.M3-6	1558	1509	353	0	5	0	26	33	18.4720041863	0.0
M1-9.M2-9.M3-2	1609	1509	302	0	2	0	29	33	15.8032443747	0.0
M1-9.M2-9.M3-3	1585	1509	326	0	6	0	25	33	17.0591313448	0.0
M1-9.M2-6.M3-8	1866	1509	34	0	16	0	26	33	1.78947368421	0.0
M1-9.M2-6.M3-9	1858	1508	42	1	16	0	26	33	2.21052631579	0.0662690523526
M1-9.M2-6.M3-18	1875	1509	25	0	18	0	24	33	1.31578947368	0.0
M1-9.M2-6.M3-15	1877	1509	23	0	18	0	24	33	1.21052631579	0.0
M1-9.M2-6.M3-11	1857	1508	43	1	18	0	24	33	2.26315789474	0.0662690523526
M1-9.M2-6.M3-7	1874	1509	26	0	17	0	25	33	1.36842105263	0.0
M1-9.M2-6.M3-17	1876	1509	24	0	18	0	24	33	1.26315789474	0.0
M1-9.M2-6.M3-4	1603	1509	297	0	10	0	32	33	15.6315789474	0.0
M1-9.M2-6.M3-16	1889	1509	11	0	18	0	24	33	0.578947368421	0.0
M1-9.M2-6.M3-10	1866	1509	34	0	16	0	26	33	1.78947368421	0.0
M1-9.M2-6.M3-1	1661	1509	239	0	11	0	31	33	12.5789473684	0.0
M1-9.M2-6.M3-5	1552	1509	348	0	11	0	31	33	18.3157894737	0.0
M1-9.M2-6.M3-14	1882	1509	18	0	18	0	24	33	0.947368421053	0.0
M1-9.M2-6.M3-12	1855	1509	45	0	17	0	25	33	2.36842105263	0.0
M1-9.M2-6.M3-13	1889	1509	11	0	18	0	24	33	0.578947368421	0.0
M1-9.M2-6.M3-6	1552	1509	348	0	11	0	31	33	18.3157894737	0.0
M1-9.M2-6.M3-2	1604	1509	296	0	7	0	35	33	15.5789473684	0.0
M1-9.M2-6.M3-3	1582	1509	318	0	9	0	33	33	16.7368421053	0.0
M1-9.M2-10.M3-8	1875	1508	34	0	7	1	26	33	1.78103719225	0.0
M1-9.M2-10.M3-9	1868	1507	41	1	6	1	27	33	2.14772132006	0.0663129973475
M1-9.M2-10.M3-18	1886	1508	23	0	7	1	26	33	1.20481927711	0.0
M1-9.M2-10.M3-15	1888	1508	21	0	7	1	26	33	1.10005238345	0.0
M1-9.M2-10.M3-11	1869	1507	40	1	6	1	27	33	2.09533787323	0.0663129973475
M1-9.M2-10.M3-7	1884	1508	25	0	7	1	26	33	1.30958617077	0.0
M1-9.M2-10.M3-17	1887	1508	22	0	7	1	26	33	1.15243583028	0.0
M1-9.M2-10.M3-4	1607	1508	302	0	6	1	27	33	15.8198009429	0.0
M1-9.M2-10.M3-16	1900	1508	9	0	7	1	26	33	0.471451021477	0.0
M1-9.M2-10.M3-10	1876	1508	33	0	6	1	27	33	1.72865374542	0.0
M1-9.M2-10.M3-1	1667	1508	242	0	5	1	28	33	12.6767941331	0.0
M1-9.M2-10.M3-5	1559	1508	350	0	4	1	29	33	18.3342063908	0.0
M1-9.M2-10.M3-14	1893	1508	16	0	7	1	26	33	0.838135149293	0.0
M1-9.M2-10.M3-12	1867	1508	42	0	5	1	28	33	2.20010476689	0.0
M1-9.M2-10.M3-13	1900	1508	9	0	7	1	26	33	0.471451021477	0.0
M1-9.M2-10.M3-6	1558	1508	351	0	5	1	28	33	18.3865898376	0.0
M1-9.M2-10.M3-2	1604	1508	305	0	7	1	26	33	15.9769512834	0.0
M1-9.M2-10.M3-3	1585	1508	324	0	6	1	27	33	16.9722367732	0.0
M1-9.M2-4.M3-8	1520	1509	20	0	362	0	40	33	1.2987012987	0.0
M1-9.M2-4.M3-9	1514	1508	26	1	360	0	42	33	1.68831168831	0.0662690523526
M1-9.M2-4.M3-18	1522	1509	18	0	371	0	31	33	1.16883116883	0.0
M1-9.M2-4.M3-15	1524	1509	16	0	371	0	31	33	1.03896103896	0.0
M1-9.M2-4.M3-11	1515	1508	25	1	360	0	42	33	1.62337662338	0.0662690523526
M1-9.M2-4.M3-7	1528	1509	12	0	363	0	39	33	0.779220779221	0.0
M1-9.M2-4.M3-17	1524	1509	16	0	370	0	32	33	1.03896103896	0.0
M1-9.M2-4.M3-4	1339	1509	201	0	274	0	128	33	13.0519480519	0.0
