tool	range	PC	TP	FP	Sensitivity	Precision	F1-score
MF;DM	5:5	3	1	0	0.3333333333333333	1.0	0.5
MT2;DM;MT2m;M2S2MH	10:5	7	3	0	0.42857142857142855	1.0	0.6
NA	10:10	0	0	0	None	None	None
MF;MT2;M2S2MH	25:5	9	4	0	0.4444444444444444	1.0	0.6153846153846154
MT2	25:10	4	4	0	1.0	1.0	1.0
HCp20;HCp200	25:25	4	4	0	1.0	1.0	1.0
NA	90:5	0	0	0	None	None	None
NA	90:10	0	0	0	None	None	None
MF;MT2;DM;HCp20;HCp200;MH;M2S2MH	90:25	1	1	0	1.0	1.0	1.0
NA	90:90	0	0	0	None	None	None
